,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,v_decile_score,start,end,event
36,,0,5.0,0,0,,1.0,2,10,223,1
37,,0,2.0,0,0,,0.0,3,1,240,1
38,,2,,1,3,,0.0,6,33,514,1
39,,0,,0,0,,1.0,2,0,1171,0
40,,0,,0,0,,1.0,8,79,524,0
41,,0,,0,0,,1.0,1,0,1128,0
42,,0,,0,0,,1.0,2,0,72,1
43,,0,2.0,0,0,,1.0,2,1,529,0
44,,0,7.0,0,0,,0.0,2,0,61,1
45,,0,10.0,0,0,,1.0,9,6,8,1
46,,1,8.0,0,4,,1.0,3,0,9,1
47,,0,1.0,0,0,,0.0,1,0,973,0
48,,0,,0,0,4.0,59.0,2,0,257,1
49,,0,4.0,0,0,,1.0,3,0,1073,0
50,,0,2.0,0,0,,24.0,2,0,441,0
51,,0,2.0,0,0,0.0,1.0,2,0,865,0
52,,0,6.0,0,0,,562.0,4,0,275,1
53,,0,,0,0,1.0,219.0,1,0,800,0
54,,0,,0,1,,1.0,7,135,1077,1
55,,0,4.0,0,0,2.0,1.0,4,1,575,1
56,,0,7.0,0,0,0.0,0.0,3,23,1167,0
57,,0,,0,0,,1.0,1,0,948,0
58,,0,5.0,0,0,,13.0,2,0,1039,0
59,,0,3.0,0,0,,1.0,2,0,1145,0
60,,0,,0,0,10.0,906.0,5,0,44,1
61,,1,10.0,1,2,,1.0,9,0,44,1
62,,0,2.0,0,0,,1.0,2,1,272,1
63,,0,,0,1,,1.0,6,0,371,1
64,,0,10.0,1,2,,114.0,9,0,70,0
65,,0,9.0,0,0,,1.0,5,18,69,0
66,,0,1.0,0,0,0.0,1.0,1,0,1179,0
67,,0,,1,0,,0.0,3,30,193,1
68,,0,1.0,0,0,0.0,1.0,1,0,754,0
69,,0,,0,0,,1.0,1,3,916,0
70,,0,,0,0,6.0,1.0,1,241,323,1
71,,0,,0,0,1.0,1.0,6,0,1042,0
72,,0,,0,0,,1.0,2,4,1121,0
73,,0,6.0,0,0,,0.0,3,1,253,1
74,,0,,0,1,,1.0,3,13,273,0
75,,0,,0,0,2.0,15.0,1,0,989,0
76,,0,,0,0,1.0,1.0,3,17,256,0
77,,0,,0,0,,1.0,6,57,73,0
78,,0,,0,0,1.0,1.0,3,1,11,1
79,,0,7.0,0,0,,44.0,8,0,258,1
80,,0,,0,0,,1.0,1,0,1124,0
81,,0,2.0,0,0,,5185.0,2,1,1128,0
82,,0,,0,0,8.0,1.0,9,0,55,1
83,,0,,0,0,,1.0,2,0,182,1
84,,1,,6,1,,1.0,10,6,100,1
85,,0,5.0,0,0,,1.0,8,0,119,1
86,,1,,0,0,2.0,0.0,10,30,175,1
87,,0,7.0,0,1,,192.0,8,0,137,0
88,,0,,0,0,,1.0,1,0,1098,0
89,,0,7.0,0,0,,1.0,6,4,27,1
90,,0,,0,0,7.0,1.0,4,0,377,1
91,,0,6.0,0,0,,1.0,6,4,253,1
92,,0,8.0,0,0,9.0,1.0,9,0,145,1
93,,0,,0,0,,804.0,3,0,1183,0
94,,0,7.0,0,0,,1.0,8,0,869,0
95,,0,1.0,0,0,,3.0,1,0,63,1
96,,0,1.0,0,0,,64.0,1,0,877,0
97,,0,,0,0,,1.0,1,0,1082,0
98,,0,1.0,0,0,,2.0,1,0,955,0
99,,0,4.0,0,0,,10.0,7,0,104,1
100,,0,,0,0,1.0,137.0,3,0,503,0
101,,0,2.0,0,0,,1.0,2,0,935,0
102,,0,,0,0,,1.0,1,1,52,1
103,,0,,1,2,,0.0,6,11,27,1
104,,0,,0,0,,1.0,2,5,497,0
105,,0,,0,0,,1.0,2,38,770,0
106,,0,4.0,0,0,,1.0,3,106,392,0
107,,0,,0,0,,265.0,4,0,178,1
108,,0,,0,0,1.0,30.0,1,0,960,0
109,,0,,0,0,3.0,1.0,6,5,24,1
110,,0,,0,0,,1.0,3,2,55,1
111,,0,5.0,0,0,,0.0,5,15,441,0
112,,0,5.0,0,0,,1.0,2,0,345,1
113,,0,2.0,0,0,3.0,0.0,1,1,102,0
114,,0,,0,0,,1.0,2,1,2,1
115,,0,9.0,1,0,,0.0,7,176,285,1
116,,0,4.0,0,0,,1.0,7,0,394,1
117,,0,8.0,12,2,,1.0,5,1,83,1
118,,0,,0,0,1.0,1.0,8,0,900,0
119,,0,,0,0,1.0,1.0,2,0,97,0
120,,0,,0,0,,0.0,7,0,55,1
121,,0,,0,0,,1.0,4,0,249,1
122,,0,9.0,0,0,8.0,79.0,3,0,67,0
123,,0,9.0,0,0,,2.0,6,0,977,0
124,,0,10.0,0,0,,1.0,7,0,222,0
125,,0,,0,0,,48.0,1,0,732,0
126,,0,,0,0,,36.0,8,0,139,0
127,,0,,0,0,6.0,5.0,1,0,408,0
128,,0,,0,0,,1.0,5,2,359,0
129,,0,2.0,0,0,1.0,20.0,2,0,864,0
130,,0,1.0,0,0,,161.0,2,0,946,0
131,37.0,0,2.0,0,0,,222.0,1,1,823,0
132,,0,,0,0,,1.0,3,0,60,0
133,,0,2.0,0,0,0.0,1.0,3,1,784,0
134,,0,4.0,1,0,10.0,1.0,2,6,40,0
135,,0,,0,0,2.0,1.0,1,0,216,1
136,,0,5.0,0,0,,36.0,5,0,37,1
137,,0,7.0,0,0,,1.0,3,7,413,0
138,,0,,0,0,,16.0,3,0,48,1
139,,0,,0,0,,1.0,3,0,1140,1
140,,0,,0,0,,1.0,1,0,164,1
141,,0,,0,0,,375.0,3,0,1073,0
142,,1,,0,0,1.0,0.0,10,3,119,0
143,,0,1.0,0,0,0.0,0.0,1,1,1053,0
144,,1,,1,0,9.0,1.0,4,12,129,1
145,,0,,0,0,,2.0,5,0,24,1
146,,0,5.0,0,0,,1.0,2,0,187,1
147,,0,,0,0,,1.0,2,1,76,0
148,,0,,0,0,,1.0,9,25,275,1
149,,0,,0,0,2.0,1.0,8,0,18,0
150,,0,,0,0,0.0,1.0,8,0,846,0
151,,0,6.0,0,0,0.0,2.0,3,0,795,0
152,61.0,0,,0,0,,1.0,1,0,544,1
153,,0,,0,0,13.0,1.0,6,1,36,0
154,,0,,0,0,1.0,26.0,1,0,786,0
155,,0,,0,0,4.0,7.0,9,0,395,1
156,,0,,0,0,,1.0,4,0,938,0
157,,0,,0,0,,72.0,1,0,1177,0
158,,0,,0,0,,1.0,4,0,229,1
159,,0,,0,0,,52.0,1,0,1009,0
160,,1,,0,0,1.0,1672.0,4,3,780,0
161,,0,7.0,0,0,3.0,1.0,4,0,14,1
162,,0,7.0,0,0,,1.0,8,70,367,0
163,,0,2.0,0,0,,1.0,1,0,918,0
164,,0,,0,0,,1.0,4,0,547,0
165,,0,,0,0,,31.0,1,0,22,1
166,,0,6.0,0,0,6.0,56.0,2,0,744,0
167,,0,5.0,0,0,0.0,1.0,4,2,719,0
168,,0,2.0,0,0,,1.0,3,1,31,1
169,,0,,0,0,,2.0,5,0,935,0
170,,0,7.0,0,0,,1.0,3,0,1138,0
171,,0,1.0,0,0,,1.0,1,2,108,0
172,,0,,0,0,,1.0,1,16,1151,0
173,,0,,0,0,6.0,111.0,4,0,417,0
174,,0,,0,0,1.0,45.0,1,0,934,0
175,,0,,0,0,,61.0,7,0,29,0
176,,0,,0,0,,1.0,6,0,482,1
177,,0,1.0,0,0,2.0,1.0,1,187,946,0
178,,0,2.0,0,0,0.0,1.0,1,0,302,0
179,,0,1.0,0,0,1.0,1.0,1,0,310,1
180,,0,,0,0,,1.0,1,0,760,0
181,,0,,0,0,,1.0,4,1,808,0
182,,2,,2,1,,35.0,5,0,238,1
183,,0,5.0,0,0,,1.0,5,0,200,1
184,,0,8.0,0,0,,1.0,1,0,9,1
185,,0,,0,0,0.0,1.0,4,0,176,1
186,,0,,0,0,1.0,0.0,1,20,889,0
187,,0,5.0,0,0,2.0,35.0,2,0,155,1
188,,0,,0,0,,10.0,1,0,943,1
189,,0,,0,0,,0.0,3,71,584,0
190,,0,10.0,0,0,13.0,1.0,7,0,289,1
191,,0,9.0,0,0,,0.0,8,0,104,1
192,,0,,0,0,,0.0,4,1,389,1
193,,0,,0,0,9.0,1.0,8,79,173,1
194,,0,,0,0,2.0,1.0,4,358,1155,0
195,,0,,0,0,0.0,1.0,4,0,320,1
196,34.0,0,,0,0,,1.0,1,26,758,1
197,,0,,0,0,1.0,1.0,4,0,954,0
198,,0,,0,0,,1.0,1,2,598,1
199,,0,1.0,0,0,,4.0,1,0,879,0
200,,0,3.0,0,0,,1.0,1,0,875,0
201,,0,4.0,0,0,,0.0,4,1,1181,0
202,,0,,1,0,,1.0,9,1,318,1
203,,0,5.0,0,0,,1.0,4,0,54,1
204,,0,10.0,0,0,2.0,1.0,8,0,379,1
205,,0,2.0,0,0,,1.0,3,2,1102,0
206,,0,8.0,0,0,0.0,1.0,6,29,885,0
207,,0,,0,0,,56.0,3,0,48,1
208,,0,,0,0,,1.0,6,0,216,1
209,,0,,0,0,2.0,1.0,1,0,61,0
210,,0,4.0,0,0,2.0,36.0,3,0,765,0
211,,0,9.0,0,0,,1.0,7,38,889,0
212,,0,,0,0,,1.0,1,0,245,1
213,,0,9.0,0,0,,1.0,3,1,1137,0
214,,0,,0,0,,2147.0,4,0,883,0
215,,0,6.0,0,0,3.0,23.0,4,0,104,0
216,,0,2.0,0,0,,5.0,3,0,1183,0
217,,0,,0,0,1.0,34.0,1,0,1108,0
218,,0,,0,0,,1.0,1,0,169,1
219,,0,,0,0,,1.0,2,0,883,0
220,,0,,0,0,1.0,1.0,1,0,229,0
221,,0,1.0,0,0,,1.0,1,0,1174,0
222,,0,3.0,0,0,4.0,0.0,4,2,516,1
223,,0,,0,0,2.0,1.0,4,2,1054,0
224,,0,,0,0,,1.0,3,0,878,0
225,,0,,0,0,,1.0,9,222,433,1
226,,0,1.0,0,0,0.0,1.0,1,1,870,1
227,,0,,0,0,,1.0,2,2,314,1
228,,0,,0,0,11.0,1.0,9,129,1060,0
229,,0,,0,0,2.0,1.0,5,71,1058,0
230,,0,,0,0,,227.0,6,0,283,1
231,,0,1.0,0,0,,0.0,1,1,797,0
232,,0,1.0,0,0,0.0,1.0,1,0,1051,0
233,,0,4.0,0,0,13.0,1.0,1,51,161,1
234,,0,4.0,0,0,,1.0,3,13,787,0
235,,0,,0,0,,3.0,2,0,1050,0
236,,0,9.0,0,2,11.0,1.0,4,0,119,1
237,,0,5.0,0,0,,0.0,3,6,917,0
238,,0,,0,0,,1.0,6,0,1134,0
239,,0,2.0,0,0,4.0,0.0,2,0,1123,0
240,,0,,0,0,,0.0,4,1,880,0
241,,0,8.0,0,0,,1.0,5,30,401,1
242,,0,,0,0,,1.0,1,34,172,0
243,,0,,1,0,14.0,1.0,8,0,836,0
244,,0,8.0,1,0,4.0,1562.0,6,0,649,0
245,,0,,0,0,,1.0,1,0,1171,0
246,,0,,0,0,25.0,70.0,9,0,29,0
247,,0,,0,0,,1.0,3,4,136,1
248,,0,3.0,0,0,,1.0,4,0,938,0
249,,0,,0,1,1.0,0.0,7,6,531,1
250,,0,1.0,0,0,0.0,2.0,1,0,844,0
251,,0,,0,0,,1.0,1,0,891,0
252,,0,7.0,0,0,8.0,0.0,9,0,150,1
253,,0,,0,0,,140.0,2,0,779,0
254,,0,,0,0,,208.0,9,0,33,1
255,,0,7.0,0,0,1.0,32.0,5,0,394,1
256,,0,,0,0,3.0,46.0,3,0,366,1
257,,0,2.0,0,0,0.0,1.0,2,0,1119,0
258,,0,6.0,0,1,,1.0,4,0,82,1
259,,0,,0,4,,1.0,7,0,607,1
260,,0,8.0,0,0,,3.0,7,0,1152,0
261,,0,,0,0,1.0,1.0,3,0,731,0
262,,0,8.0,0,0,1.0,1.0,7,0,104,1
263,,0,,0,0,2.0,1.0,5,1,55,1
264,,0,1.0,0,0,,1.0,1,0,204,0
265,,0,4.0,0,0,4.0,1.0,4,0,700,0
266,,0,4.0,0,0,,1016.0,3,0,812,1
267,,0,1.0,0,0,,0.0,1,1,294,0
268,,0,,0,0,,1.0,6,2,772,0
269,,0,7.0,0,1,,0.0,6,2,66,0
270,,0,1.0,0,0,0.0,1.0,1,0,973,0
271,,0,,0,0,0.0,1.0,4,3,468,1
272,,0,2.0,0,0,,1.0,3,1,870,0
273,,0,,0,0,,562.0,1,0,571,1
274,,0,,0,0,,1.0,4,0,355,0
275,,0,,0,0,0.0,1.0,7,1,220,1
276,,0,7.0,0,0,,0.0,6,1,197,1
277,,0,,1,1,3.0,1.0,7,0,4,1
278,,0,,0,0,,1.0,4,0,822,0
279,,0,10.0,0,0,2.0,1.0,8,0,798,0
280,,0,,0,0,,232.0,4,0,938,0
281,,0,,0,0,,1.0,1,0,970,0
282,,0,,0,0,,1.0,3,0,793,0
283,,0,7.0,0,0,24.0,31.0,3,0,53,0
284,52.0,0,,0,0,3.0,1.0,2,25,43,1
285,,0,1.0,0,0,,1.0,1,40,1092,0
286,,0,1.0,0,0,,4.0,1,0,758,0
287,,0,,0,0,,100.0,3,0,299,1
288,,0,1.0,0,0,,13.0,1,0,1079,0
289,,0,2.0,0,0,,322.0,1,0,414,1
290,,0,4.0,0,0,3.0,1.0,2,13,1066,0
291,,0,,0,0,,1.0,7,0,278,1
292,,0,8.0,0,0,,1.0,6,1,415,1
293,,0,1.0,0,0,,82.0,1,0,23,1
294,,0,,0,0,,1.0,4,0,802,0
295,,0,5.0,0,0,,48.0,7,0,472,1
296,,0,,0,0,5.0,1.0,4,0,849,0
297,,0,,0,0,,1.0,5,1,373,1
298,,0,,0,0,,1.0,2,2,171,1
299,,0,,0,0,2.0,83.0,2,0,889,0
300,,0,,0,0,,1.0,1,2,48,1
301,,0,3.0,0,0,0.0,1.0,5,0,1088,0
302,,0,,0,0,,93.0,2,0,412,1
303,,0,,0,0,2.0,1.0,1,1,1133,0
304,21.0,0,,0,0,0.0,0.0,7,1,1186,0
305,,0,,0,0,,36.0,7,0,955,1
306,,0,8.0,0,1,,11.0,5,0,246,1
307,,0,1.0,0,0,,0.0,1,2,444,0
308,,1,8.0,0,1,4.0,707.0,10,0,300,1
309,,0,,0,0,5.0,1.0,1,10,851,0
310,,0,,0,0,,1.0,1,7,614,1
311,,0,,0,0,,2.0,1,0,852,0
312,,0,3.0,0,0,,1.0,5,45,463,0
313,,0,1.0,0,0,0.0,1.0,2,1,1089,0
314,,0,,0,0,,1.0,1,0,570,1
315,,0,,0,0,3.0,1.0,3,0,412,1
316,,0,,0,0,,3.0,1,0,57,0
317,,0,,1,0,9.0,1.0,10,4,80,1
318,,0,,0,0,0.0,0.0,3,17,808,0
319,,0,,0,0,,1.0,9,0,30,1
320,,0,,0,0,,1.0,1,1,741,0
321,,0,,0,0,,1.0,1,1,842,0
322,,0,,0,0,,1.0,6,0,1072,0
323,,0,,0,0,,1.0,8,209,258,1
324,,0,,0,0,6.0,176.0,1,0,911,0
325,,0,5.0,0,0,,1.0,3,67,370,0
326,,0,,1,0,2.0,1.0,9,18,69,1
327,,0,,0,0,,7.0,9,26,148,0
328,,0,3.0,0,0,2.0,1.0,4,1,107,1
329,,0,1.0,0,0,1.0,1.0,1,0,1115,0
330,,0,,1,0,3.0,22.0,6,0,501,0
331,,0,7.0,0,0,0.0,1.0,5,11,1061,0
332,,0,,0,0,,2.0,4,0,54,0
333,,0,,0,0,,1.0,4,0,824,1
334,,0,5.0,0,0,,4.0,3,0,135,0
335,,0,,0,0,0.0,1.0,7,0,271,0
336,,0,3.0,0,0,0.0,1.0,3,0,830,0
337,,0,,0,0,,1.0,4,0,750,0
338,,0,,0,0,,862.0,4,0,206,1
339,,0,,0,0,,1.0,2,0,138,1
340,,0,1.0,0,0,0.0,1.0,2,0,761,0
341,,0,,0,0,,1.0,2,4,1106,0
342,,0,,0,0,,2.0,1,0,826,0
343,,0,,0,0,,94.0,1,0,848,0
344,,0,,0,0,2.0,86.0,5,0,538,0
345,,0,,1,0,,1.0,7,1,361,1
346,,0,6.0,0,1,,1.0,5,1,791,0
347,,0,3.0,0,0,,0.0,2,0,96,0
348,,0,,0,0,1.0,80.0,3,0,302,1
349,,0,1.0,0,0,,0.0,1,18,412,0
350,,0,10.0,2,0,,1.0,9,0,83,0
351,,0,8.0,0,0,0.0,1.0,6,1,790,0
352,,0,1.0,0,0,,1.0,1,0,856,0
353,,0,,0,2,,0.0,8,0,1135,0
354,,0,1.0,0,0,0.0,1.0,1,0,1156,0
355,,0,6.0,0,0,,1.0,6,1,577,0
356,,0,10.0,0,1,,0.0,10,4,221,1
357,22.0,0,,0,0,0.0,3.0,5,0,844,0
358,,0,,0,0,0.0,1.0,5,0,384,1
359,49.0,0,5.0,0,0,,1.0,4,4,689,0
360,,0,4.0,0,1,,1.0,3,50,786,1
361,,0,1.0,0,0,0.0,1.0,1,0,900,0
362,,2,10.0,0,0,3.0,1.0,10,0,235,1
363,,0,,0,0,2.0,271.0,2,0,47,1
364,,1,4.0,0,0,,21.0,7,0,596,0
365,,0,3.0,0,0,,1.0,2,95,160,0
366,,0,,0,0,0.0,1.0,3,2,1063,0
367,,0,,1,0,,2.0,6,0,947,1
368,,0,6.0,0,0,,1.0,5,0,158,0
369,,0,,0,0,,1834.0,7,0,1059,0
370,,0,,0,0,,0.0,6,219,273,1
371,,0,,0,0,,1.0,6,11,119,0
372,,0,,0,0,,0.0,1,0,787,0
373,,0,,0,0,,1.0,1,0,85,1
374,,0,,0,0,,1.0,9,7,32,1
375,,0,8.0,0,0,,1.0,7,126,239,1
376,,0,1.0,0,0,1.0,1.0,1,0,831,0
377,,0,,0,0,,1.0,4,0,839,0
378,,0,,0,0,,13.0,1,0,1024,0
379,,0,3.0,0,0,,1.0,3,1,1094,0
380,,0,4.0,0,0,,37.0,4,0,763,0
381,,1,8.0,1,0,,1.0,3,0,202,1
382,,0,9.0,0,0,,1.0,9,574,714,1
383,,0,,0,0,3.0,8.0,8,0,963,0
384,,0,9.0,0,0,,1.0,4,16,23,1
385,,0,5.0,0,0,,1.0,5,4,1051,0
386,,0,,0,0,2.0,1.0,1,0,968,0
387,,0,,0,0,,1183.0,1,0,780,0
388,,0,,0,0,7.0,1.0,3,0,773,0
389,,1,8.0,0,0,23.0,1.0,5,640,687,1
390,,0,1.0,0,0,,1.0,1,0,1103,0
391,,0,,0,0,12.0,1.0,5,31,341,1
392,,0,,0,0,,0.0,6,51,951,1
393,,0,,0,0,,1.0,1,0,831,0
394,,0,,0,0,,1.0,2,1,1092,0
395,,0,,0,0,5.0,312.0,6,0,363,1
396,,0,7.0,0,0,,1.0,3,0,19,1
397,,1,5.0,0,0,,1.0,5,1,1092,0
398,,0,,0,1,,0.0,7,21,363,0
399,,0,7.0,0,2,,35.0,7,0,272,0
400,,0,,0,0,0.0,1.0,3,0,1101,0
401,,0,1.0,0,0,,150.0,1,0,906,0
402,,0,3.0,0,0,,1.0,3,11,158,0
403,,0,8.0,0,0,,1.0,8,51,55,0
404,,0,,0,0,4.0,1.0,1,6,233,1
405,32.0,0,2.0,0,0,,1.0,2,1,494,0
406,,0,1.0,0,0,,1.0,1,0,408,0
407,,0,3.0,0,0,,5.0,4,0,1068,0
408,,0,,0,0,,2.0,2,0,1016,0
409,,0,,0,0,,1.0,1,0,895,0
410,,0,7.0,0,0,,1.0,8,0,951,0
411,,0,,0,0,1.0,31.0,2,0,511,1
412,,0,,0,0,11.0,1.0,3,109,1078,0
413,,0,,0,0,0.0,0.0,3,0,152,1
414,,0,,0,0,0.0,0.0,6,0,886,0
415,,0,,0,0,,1.0,5,1,782,0
416,,0,1.0,0,0,2.0,23.0,1,0,183,0
417,,0,3.0,0,0,,1.0,2,1,225,1
418,,0,,0,0,,1.0,5,0,129,1
419,,0,,0,0,8.0,1.0,6,2,6,1
420,,0,1.0,0,0,1.0,1.0,1,1,929,0
421,,0,7.0,0,0,,0.0,8,1,55,1
422,,0,,0,0,,0.0,4,5,391,1
423,,0,,0,0,,614.0,9,0,178,0
424,,0,,0,0,21.0,2.0,4,58,76,1
425,,0,,0,0,,1.0,6,105,420,0
426,,0,,0,0,,0.0,1,1,135,1
427,,0,4.0,0,0,,0.0,3,0,1169,0
428,,0,,0,0,,1.0,6,25,59,1
429,,0,,0,0,,22.0,1,0,956,0
430,,0,4.0,0,0,,0.0,3,33,88,0
431,,0,,1,1,,0.0,5,0,245,0
432,,0,1.0,0,0,0.0,1.0,2,0,844,0
433,,0,,0,0,2.0,1.0,3,0,1180,0
434,,0,,0,0,,1.0,9,0,54,1
435,,0,10.0,0,1,1.0,1.0,8,31,111,0
436,,0,,0,0,2.0,1.0,1,0,899,0
437,,0,,0,0,,1.0,5,0,1071,0
438,,0,,0,0,,0.0,1,0,1054,0
439,,0,,0,0,2.0,1.0,3,0,87,1
440,,1,,0,1,,1.0,8,0,239,1
441,,0,,0,0,2.0,263.0,3,0,445,1
442,,0,,0,0,1.0,1.0,4,1,267,1
443,,0,,0,0,4.0,1.0,1,1,1165,0
444,,0,,0,0,,1.0,1,0,758,0
445,,0,,0,0,,1.0,2,4,1109,0
446,,0,,0,0,5.0,1.0,2,0,853,0
447,,0,1.0,0,0,,1.0,2,0,840,0
448,,0,2.0,0,0,,77.0,1,0,912,0
449,,0,,0,0,2.0,1.0,8,9,141,1
450,,0,,0,0,,1.0,1,3,142,1
451,,0,8.0,0,1,,1.0,6,21,141,1
452,,0,8.0,0,0,,1.0,9,0,719,1
453,,0,,0,0,16.0,122.0,1,0,968,0
454,,0,6.0,0,0,,1.0,3,0,2,1
455,,0,5.0,0,0,3.0,0.0,3,1,118,1
456,,0,5.0,0,0,,1.0,3,1,162,1
457,,0,,0,0,,1.0,3,4,157,1
458,,0,,0,0,4.0,152.0,3,0,184,1
459,,0,,0,0,,1.0,1,0,7,1
460,,1,,1,0,10.0,1.0,6,0,462,0
461,,0,10.0,0,0,5.0,1.0,10,0,933,0
462,,0,1.0,0,0,,3.0,1,0,195,0
463,,0,,0,0,0.0,0.0,1,1,1080,0
464,,1,,2,2,,1.0,6,0,166,0
465,,0,,0,0,28.0,1.0,5,5,55,1
466,,0,7.0,0,1,,1.0,4,9,14,1
467,,1,,0,0,,1.0,9,25,145,0
468,,0,1.0,0,0,2.0,26.0,1,0,806,0
469,,0,,0,0,12.0,1.0,3,3,49,1
470,23.0,0,,0,1,,1.0,5,0,149,1
471,,0,,0,0,,1.0,2,0,753,0
472,,0,,0,0,1.0,0.0,10,2,80,0
473,,0,1.0,0,0,,0.0,1,35,1152,0
474,,0,,0,0,0.0,1.0,7,1,1070,0
475,,0,2.0,0,0,,14.0,1,0,1037,0
476,,0,,0,0,,1.0,1,0,765,0
477,,0,,0,0,4.0,1.0,2,0,42,1
478,,0,,0,0,0.0,2.0,1,0,941,0
479,,0,1.0,0,0,4.0,1.0,1,31,164,1
480,59.0,0,,0,0,1.0,3.0,1,0,28,1
481,,0,,0,0,,1.0,4,100,1051,0
482,58.0,0,1.0,0,0,,11.0,1,0,1149,0
483,,0,,0,0,,26.0,2,0,1150,0
484,,0,,0,1,6.0,1.0,4,3,654,1
485,,0,9.0,0,4,2.0,1.0,9,8,37,1
486,,0,,0,0,,16.0,6,0,1087,0
487,,0,,0,0,5.0,0.0,5,11,70,1
488,,0,2.0,0,0,,1.0,3,0,1143,0
489,,0,,0,0,0.0,1.0,2,0,938,0
490,,0,,0,0,,43.0,8,0,148,1
491,,0,,0,0,0.0,1.0,4,1,66,1
492,,0,,0,0,,1.0,1,0,1138,0
493,,0,,0,0,,1.0,4,7,50,1
494,,0,,0,0,0.0,2.0,1,0,903,0
495,,0,,0,0,0.0,1.0,1,1,1101,0
496,,0,5.0,0,0,,100.0,4,0,49,0
497,,0,,0,0,,53.0,6,0,133,1
498,,0,,0,0,1.0,1.0,3,0,356,1
499,,0,,0,0,,1.0,5,0,144,1
500,,0,3.0,0,0,,1.0,1,27,104,0
501,,0,,0,0,33.0,1.0,2,14,383,1
502,,0,5.0,0,0,2.0,1.0,4,0,1119,0
503,,0,,0,0,,1.0,1,0,508,0
504,,0,2.0,0,0,1.0,0.0,3,74,911,0
505,,0,7.0,0,0,1.0,1510.0,4,0,963,0
506,,0,3.0,0,0,,1.0,2,0,788,0
507,,0,,0,0,12.0,55.0,1,0,61,0
508,,0,5.0,0,0,,0.0,4,1,1112,0
509,,0,2.0,0,0,,1.0,2,0,887,0
510,,0,,0,0,,0.0,1,1,808,0
511,,0,4.0,0,0,,1.0,5,37,948,0
512,28.0,0,,0,0,,1.0,2,1,880,0
513,,0,,0,0,,0.0,3,0,76,0
514,,0,,0,0,6.0,1.0,2,51,803,0
515,,0,1.0,0,0,,0.0,2,0,833,0
516,,0,,0,0,10.0,1.0,4,126,426,1
517,,0,,0,0,,1.0,3,1,21,1
518,,0,,0,0,,0.0,3,1,638,0
519,,0,7.0,0,0,1.0,1.0,4,128,299,1
520,,0,,0,0,,1.0,4,0,61,1
521,,0,,0,0,,0.0,3,1,801,0
522,,0,,0,0,,1.0,6,0,233,1
523,,0,4.0,0,0,,6.0,3,0,173,1
524,,0,,0,0,,1.0,3,14,1185,0
525,,0,,0,0,,1.0,6,0,1103,0
526,,0,,1,3,6.0,1.0,3,0,811,1
527,,0,3.0,1,0,,2.0,3,0,224,1
528,,0,2.0,0,0,,1.0,1,0,958,0
529,,0,,1,0,,2.0,5,3,208,1
530,,0,1.0,0,0,,7.0,2,0,565,1
531,,0,3.0,0,0,,2.0,5,0,295,1
532,,0,1.0,0,0,,1.0,1,4,1135,0
533,,0,,0,0,,1.0,4,0,66,0
534,,1,,1,0,,0.0,7,1,1186,0
535,,0,,0,0,0.0,1.0,2,1,1072,0
536,,0,,0,0,14.0,1.0,6,1,41,1
537,,0,10.0,0,1,,23.0,8,0,37,1
538,,1,,0,4,6.0,251.0,10,0,136,1
539,,0,,0,0,0.0,1.0,9,0,116,1
540,,0,,0,0,,1.0,1,0,1108,0
